pc,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,,,,,,,,,
P06043047,P06043048,P06043049,P06043050,pC0410,3.5,0.5,4,Tetiana,"old flower, might be 3 for magenta, veNAtion might be 3-3.5",,,,,,,,,,,,,,,,
P06043051,P06043052,P06043053,P06043054,pC0438,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06043055,P06043056,P06043057,P06043058,pC0519,3.5,1.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06043059,P06043060,P06043061,P06043062,pC0406,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06043063,P06043064,P06043065,P06043066,pC0525,4,1,3.5,Tetiana,damaged flower,,,,,,,,,,,,,,,,
P06043067,P06043068,P06043069,P06043070,pC0434,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043071,P06043072,P06043073,P06043074,pC0572,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06043075,P06043076,P06043077,P06043078,pC0567,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06043079,P06043080,P06043081,P06043082,pC0494,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06043083,P06043084,P06043085,P06043086,pC0524,3.5,1.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06043087,P06043088,P06043089,P06043090,pC0428,3.5,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043091,P06043092,P06043093,P06043094,pC0486,3,0.5,3,Tetiana,"VERY OLD FLOWER, VENATION ?",,,,,,,,,,,,,,,,
P06043095,P06043096,P06043097,P06043098,pC0450,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043099,P06043100,P06043101,P06043102,pC0445,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06043103,P06043104,P06043105,P06043106,pC0501,3.5,0.5,4,Tetiana,,,,,,,,,,,,,,,,,
P06043107,P06043108,P06043109,P06043110,pC0491,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043111,P06043112,P06043113,P06043114,pC0518,2.5,0.5,3.5,Tetiana,"OLD FLOWER, VENATION ?",,,,,,,,,,,,,,,,
P06043115,P06043116,P06043117,P06043118,pC0505,3.5,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043119,P06043120,P06043121,P06043122,pC0446,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043123,P06043124,P06043125,P06043126,pC0430,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043127,P06043128,P06043129,P06043130,pC0544,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06043131,P06043132,P06043133,P06043134,pC0443,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06043135,P06043136,P06043137,P06043138,pC0421,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043139,P06043140,P06043141,P06043142,pC0418,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06043143,P06043144,P06043145,P06043146,pC0411,4,0.5,4,Tetiana,,,,,,,,,,,,,,,,,
P06043147,P06043148,P06043149,P06043150,pC0432,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06043151,P06043152,P06043153,P06043154,pC0420,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06043155,P06043156,P06043157,P06043158,pC0457,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06043159,P06043160,P06043161,P06043162,pC0417,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06043163,P06043164,P06043165,P06043166,pC0485,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06043167,P06043168,P06043169,P06043170,pC0414,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06043171,P06043172,P06043173,P06043174,pC0424,3.5,1,NA,Tetiana,EXTREMELY OLD AND DAMAGED FLOWER,,,,,,,,,,,,,,,,
P06043175,P06043176,P06043177,P06043178,pC0419,3.5,0.5,3.5,Tetiana,DAMAGED FLOWER,,,,,,,,,,,,,,,,
P06043179,P06043180,P06043181,P06043182,pC0521,4,0.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043183,P06043184,P06043185,P06043186,pC0426,2,1,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043187,P06043188,P06043189,P06043190,pC0425,4,1,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043191,P06043192,P06043193,P06043194,pC0423,4,1,3,Pavathy,,,,,,,,,,,,,,,,,
P06043195,P06043196,P06043197,P06043198,pC0422,3,1,3,Pavathy,,,,,,,,,,,,,,,,,
P06043199,P06043200,P06043201,P06043202,pC0512,4,0.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043203,P06043204,P06043205,P06043206,pC0530,3.5,NA,NA,Pavathy,old,,,,,,,,,,,,,,,,
P06043207,P06043208,P06043209,P06043210,pC0549,2,1,1.5,Pavathy,,,,,,,,,,,,,,,,,
P06043211,P06043212,P06043213,P06043214,pC0545,3.5,1,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043215,P06043216,P06043217,P06043218,pC0492,4,1.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043219,P06043220,P06043221,P06043222,pC0511,4,0.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043223,P06043224,P06043225,P06043226,pC0436,3.5,0.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043227,P06043228,P06043229,P06043230,pC0516,3.5,0.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043231,P06043232,P06043233,P06043234,pC0504,4,0.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043235,P06043236,P06043237,P06043238,pC0503,4,0.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043239,P06043240,P06043241,P06043242,pC0416,4,0.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043243,P06043244,P06043245,P06043246,pC0412,4,1,3.5,Pavathy,damaged,,,,,,,,,,,,,,,,
P06043247,P06043248,P06043249,P06043250,pC0429,4,0.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043251,P06043254,P06043252,P06043253,pC0439,3,1,3.5,Pavathy,old,,,,,,,,,,,,,,,,
P06043255,P06043256,P06043257,P06043258,pC0482,3.5,2.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043259,P06043260,P06043261,P06043262,pC0415,1,2.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043263,P06043264,P06043265,P06043266,pC0517,4,0.5,4,Pavathy,,,,,,,,,,,,,,,,,
P06043267,P06043268,P06043269,P06043270,pC0509,3.5,0.5,3,Pavathy,damaged,,,,,,,,,,,,,,,,
P06043271,P06043272,P06043273,P06043274,pC0569,4,0.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043275,P06043276,P06043277,P06043278,pC0520,4,0.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043279,P06043280,P06043281,P06043282,pC0442,3.5,0.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043283,P06043284,P06043285,P06043286,pC0413,3,1,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043287,P06043288,P06043289,P06043290,pC0433,4,0.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043291,P06043292,P06043293,P06043294,pC0444,3.5,1,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043295,P06043296,P06043297,P06043298,pC0515,3.5,0.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043299,P06043300,P06043301,P06043302,pC0506,4,0.5,3.5,Pavathy,,,,,,,,,,,,,,,,,
P06043303,P06043304,P06043305,P06043306,pC0500,3,0.5,3,Pavathy,,,,,,,,,,,,,,,,,
P06043307,P06043308,P06043309,P06043310,pC0550,3.5,0.5,3.5,Sean,,,,,,,,,,,,,,,,,
P06043311,P06043312,P06043313,P06043314,pC0484,3,0.5,3,Sean,,,,,,,,,,,,,,,,,
P06043315,P06043316,P06043317,P06043318,pC0413,1.5,1.5,1,Sean,,,,,,,,,,,,,,,,,
P06043319,P06043320,P06043321,P06043322,pC0513,3.5,0.5,3.5,Sean,,,,,,,,,,,,,,,,,
P06043323,P06043324,P06043325,P06043326,pC0574,4,1,3,Sean,,,,,,,,,,,,,,,,,
P06043327,P06043328,P06043329,P06043330,pC0447,3,1.5,3,Sean,damaged,,,,,,,,,,,,,,,,
P06043331,P06043332,P06043333,P06043334,pC0449,3.5,0.5,3,Sean,,,,,,,,,,,,,,,,,
P06043335,P06043336,P06043337,P06043338,pC0507,3,1,3.5,Sean,,,,,,,,,,,,,,,,,
P06043339,P06043340,P06043341,P06043342,pC0493,3.5,1,NA,Sean,old,,,,,,,,,,,,,,,,
P06043343,P06043344,P06043345,P06043346,pC0404,4,0.5,3,Sean,,,,,,,,,,,,,,,,,
P06043347,P06043348,P06043349,P06043350,pC0523,4,1,3,Sean,,,,,,,,,,,,,,,,,
P06043351,P06043352,P06043353,P06043354,pC0537,3.5,0.5,3,Sean,,,,,,,,,,,,,,,,,
P06043355,P06043356,P06043357,P06043358,pC0514,3,1.5,1,Sean,old,,,,,,,,,,,,,,,,
P06043359,P06043360,P06043361,P06043362,pC0529,3,0.5,1,Sean,,,,,,,,,,,,,,,,,
P06043363,P06043364,P06043365,P06043366,pC0508,3.5,0.5,3.5,Sean,,,,,,,,,,,,,,,,,
P06043367,P06043368,P06043369,P06043370,pC0402,3.5,1,3,Sean,,,,,,,,,,,,,,,,,
P06043371,P06043372,P06043373,P06043374,pC0451,1.5,1.5,2.5,Sean,,,,,,,,,,,,,,,,,
P06043375,P06043376,P06043377,P06043378,pC0153,3,2.5,3,Sean,,,,,,,,,,,,,,,,,
P06043379,P06043380,P06043381,P06043382,pB0391,3,1,3,Sean,,,,,,,,,,,,,,,,,
P06043383,P06043384,P06043385,P06043386,pB0114,1.5,1,2.5,Sean,,,,,,,,,,,,,,,,,
P06043387,P06043388,P06043389,P06043390,pC0289,0.5,2.5,1.5,Sean,,,,,,,,,,,,,,,,,
P06043391,P06043392,P06043393,P06043394,pC0210,2,0.5,1.5,Sean,,,,,,,,,,,,,,,,,
P06043395,P06043396,P06043397,P06043398,pC0319,1.5,2,0.5,Sean,,,,,,,,,,,,,,,,,
P06043399,P06043400,P06043401,P06043402,pC0020,2,2.5,3,Sean,,,,,,,,,,,,,,,,,
P06043403,P06043404,P06043405,P06043406,pC0839,1.5,1.5,3,Sean,,,,,,,,,,,,,,,,,
P06043407,P06043408,P06043409,P06043410,pB1821,0.5,2.5,3,Sean,,,,,,,,,,,,,,,,,
P06043411,P06043412,P06043413,P06043414,pC0846,3.5,1,3.5,Sean,,,,,,,,,,,,,,,,,
P06043415,P06043416,P06043417,P06043418,pC0285,0.5,2.5,2.5,Sean,,,,,,,,,,,,,,,,,
P06043419,P06043420,P06043421,P06043422,pC0239,3,0.5,3.5,Sean,,,,,,,,,,,,,,,,,
P06043423,P06043424,P06043425,P06043426,pC0312,0,3,1.5,Sean,old,,,,,,,,,,,,,,,,
P06043427,P06043428,P06043429,P06043430,pC0084,2,1,1,Sean,,,,,,,,,,,,,,,,,
P06043431,P06043432,P06043433,P06043434,pC0309,0.5,0.5,1,Sean,,,,,,,,,,,,,,,,,
P06043435,P06043436,P06043437,P06043438,pC0152,2.5,1,2.5,Sean,damaged,,,,,,,,,,,,,,,,
P06043439,P06043440,P06043441,P06043442,pC0320,1.5,2.5,3.5,Sean,,,,,,,,,,,,,,,,,
P06043443,P06043444,P06043445,P06043446,pC0305,0.5,1,2.5,Sean,,,,,,,,,,,,,,,,,
P06043447,P06043448,P06043449,P06043450,pC0180,1.5,0.5,1,Sean,damaged,,,,,,,,,,,,,,,,
P06043451,P06043452,P06043453,P06043454,pC0194,3.5,0.5,3,Sean,,,,,,,,,,,,,,,,,
P06043455,P06043456,P06043457,P06043458,pC0299,2.5,2,2.5,Sean,,,,,,,,,,,,,,,,,
P06043459,P06043460,P06043461,P06043462,pC0045,1.5,1.5,2.5,Sean,,,,,,,,,,,,,,,,,
P06043463,P06043464,P06043465,P06043466,pC0310,0.5,1,1.5,Sean,,,,,,,,,,,,,,,,,
P06043467,P06043468,P06043469,P06043470,pC0276,0.5,1,2.5,Sean,,,,,,,,,,,,,,,,,
P06043471,P06043472,P06043473,P06043474,pC0318,2.5,1,1.5,Sean,,,,,,,,,,,,,,,,,
P06053475,P06053476,P06053477,P06053478,pC0632,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053479,P06053480,P06053481,P06053482,pC0634,4,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053483,P06053484,P06053485,P06053486,pC0652,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053487,P06053488,P06053489,P06053490,pC0630,3.5,0.5,3,Tetiana,old,,,,,,,,,,,,,,,,
P06053491,P06053492,P06053493,P06053494,pC0648,3.5,0.5,3,Tetiana,"extremely old and damaged, veNAtion by 1 petal",,,,,,,,,,,,,,,,
P06053495,P06053496,P06053497,P06053498,pC0666,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053499,P06053500,P06053501,P06053502,pC0643,3.5,0.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06053503,P06053504,P06053505,P06053506,pC0647,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053507,P06053508,P06053509,P06053510,pC0665,3.5,1,3,Tetiana,"old, veNAtion by 1 petal",,,,,,,,,,,,,,,,
P06053511,P06053512,P06053513,P06053514,pC0646,4,0.5,3,Tetiana,a bit damaged petal,,,,,,,,,,,,,,,,
P06053515,P06053516,P06053517,P06053518,pC0658,1.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053519,P06053520,P06053521,P06053522,pC0657,3.5,1,1,Tetiana,,,,,,,,,,,,,,,,,
P06053523,P06053524,P06053525,P06053526,pC0636,4,1,3.5,Tetiana,"damaged petals, veNAtion up to 4",,,,,,,,,,,,,,,,
P06053527,P06053528,P06053529,P06053530,pC0649,4,0.5,3.5,Tetiana,"damaged petals, veNAtion up to 4",,,,,,,,,,,,,,,,
P06053531,P06053532,P06053533,P06053534,pC0642,3.5,1,NA,Tetiana,very damaged petals,,,,,,,,,,,,,,,,
P06053535,P06053536,P06053537,P06053538,pC0662,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053539,P06053540,P06053541,P06053542,pC0641,3.5,0.5,4,Tetiana,,,,,,,,,,,,,,,,,
P06053543,P06053544,P06053545,P06053546,pC0673,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053547,P06053548,P06053549,P06053550,pC0663,4,1.5,4,Tetiana,,,,,,,,,,,,,,,,,
P06053551,P06053552,P06053553,P06053554,pC0661,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053555,P06053556,P06053557,P06053558,pC0626,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053559,P06053560,P06053561,P06053562,pC0644,3.5,0.5,3.5,Tetiana,"damaged petals, veNAtion ?",,,,,,,,,,,,,,,,
P06053563,P06053564,P06053565,P06053566,pC0656,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053567,P06053568,P06053569,P06053570,pC0637,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053571,P06053572,P06053573,P06053574,pC0660,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053575,P06053576,P06053577,P06053578,pC0628,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053579,P06053580,P06053581,P06053582,pC0655,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053583,P06053584,P06053585,P06053586,pC0633,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053587,P06053588,P06053589,P06053590,pC0631,3,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053591,P06053592,P06053593,P06053594,pC0639,4,1,3.5,Tetiana,"damaged petals, veNAtion up to 4",,,,,,,,,,,,,,,,
P06053595,P06053596,P06053597,P06053598,pC0461,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053599,P06053600,P06053601,P06053602,pC0578,2.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053603,P06053604,P06053605,P06053606,pC0551,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053607,P06053608,P06053609,P06053610,pC0465,4,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053611,P06053612,P06053613,P06053614,pC0534,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053615,P06053616,P06053617,P06053618,pC0435,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053619,P06053620,P06053621,P06053622,pC0472,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053623,P06053624,P06053625,P06053626,pC0560,2,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053627,P06053628,P06053629,P06053630,pC0598,3,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053631,P06053632,P06053633,P06053634,pC0563,2.5,0.5,0.5,Tetiana,,,,,,,,,,,,,,,,,
P06053635,P06053636,P06053637,P06053638,pC0469,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053639,P06053640,P06053641,P06053642,pC0441,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053643,P06053644,P06053645,P06053646,pC0448,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053647,P06053648,P06053649,P06053650,pC0455,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053651,P06053652,P06053653,P06053654,pC0454,3,1.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053655,P06053656,P06053657,P06053658,pC0459,3,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053659,P06053660,P06053661,P06053662,pC0564,4,1,3.5,Tetiana,"damaged petals, veNAtion up to 4",,,,,,,,,,,,,,,,
P06053663,P06053664,P06053665,P06053666,pC0467,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053667,P06053668,P06053669,P06053670,pC0427,4,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053671,P06053672,P06053673,P06053674,pC0468,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053675,P06053676,P06053677,P06053678,pC0595,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053679,P06053680,P06053681,P06053682,pC0593,3,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053683,P06053684,P06053685,P06053686,pC0566,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053687,P06053688,P06053689,P06053690,pC0475,3.5,1,3.5,Tetiana,damaged flower,,,,,,,,,,,,,,,,
P06053691,P06053692,P06053693,P06053694,pC0561,4,0.5,3.5,Tetiana,"OLD, veNAtion up to 4",,,,,,,,,,,,,,,,
P06053695,P06053696,P06053697,P06053698,pC0585,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053699,P06053700,P06053701,P06053702,pC0553,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053703,P06053704,P06053705,P06053706,pC0464,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053707,P06053708,P06053709,P06053710,pC0458,3,2.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053711,P06053712,P06053713,P06053714,pC0474,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053715,P06053716,P06053717,P06053718,pC0555,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053719,P06053720,P06053721,P06053722,pC0557,4,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053723,P06053724,P06053725,P06053726,pC0456,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053727,P06053728,P06053729,P06053730,pC0453,3.5,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053731,P06053732,P06053733,P06053734,pC0575,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053735,P06053736,P06053737,P06053738,pC0470,3.5,1.5,NA,Tetiana,"VERY OLD AND DAMAGED, YELLOW COULD BE OTHER",,,,,,,,,,,,,,,,
P06053739,P06053740,P06053741,P06053742,pC0471,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053743,P06053744,P06053745,P06053746,pC0552,3.5,1,NA,Tetiana,OLD FLOWER,,,,,,,,,,,,,,,,
P06053747,P06053748,P06053749,P06053750,pC0587,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053751,P06053752,P06053753,P06053754,pC0466,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053755,P06053756,P06053757,P06053758,pC0460,3.5,2.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053759,P06053760,P06053761,P06053762,pC0452,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053763,P06053764,P06053765,P06053766,pC0554,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053767,P06053768,P06053769,P06053770,pC0473,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053771,P06053772,P06053773,P06053774,pC0623,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053775,P06053776,P06053777,P06053778,pC0462,3,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053779,P06053780,P06053781,P06053782,pC0613,3.5,0.5,0.5,Tetiana,,,,,,,,,,,,,,,,,
P06053783,P06053784,P06053785,P06053786,pC0711,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053787,P06053788,P06053789,P06053790,pC0653,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053791,P06053792,P06053793,P06053794,pC0675,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053795,P06053796,P06053797,P06053798,pC0615,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053799,P06053800,P06053801,P06053802,pC0671,3.5,1.5,4,Tetiana,"DAMGED FLOWER, VENATION AND YELLOW, MIGHT BE OTHER",,,,,,,,,,,,,,,,
P06053803,P06053804,P06053805,P06053806,pC0664,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053807,P06053808,P06053809,P06053810,pC0617,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053811,P06053812,P06053813,P06053814,pC0618,2,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053815,P06053816,P06053817,P06053818,pC0622,3.5,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053819,P06053820,P06053821,P06053822,pC0576,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053823,P06053824,P06053825,P06053826,pC0721,3,2.5,4,Tetiana,,,,,,,,,,,,,,,,,
P06053827,P06053828,P06053829,P06053830,pC0635,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053831,P06053832,P06053833,P06053834,pC0701,3.5,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053835,P06053836,P06053837,P06053838,pC0723,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053839,P06053840,P06053841,P06053842,pC0570,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053843,P06053844,P06053845,P06053846,pC0822,3.5,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053847,P06053848,P06053849,P06053850,pC0624,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053851,P06053852,P06053853,P06053854,pC0722,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053855,P06053856,P06053857,P06053858,pC0654,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053859,P06053860,P06053861,P06053862,pC0616,4,1,NA,Tetiana,OLD AND DAMAGED,,,,,,,,,,,,,,,,
P06053863,P06053864,P06053865,P06053866,pC0677,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053867,P06053868,P06053869,P06053870,pC0584,4,0.5,3.5,Tetiana,"OLD, veNAtion up to 3-4",,,,,,,,,,,,,,,,
P06053871,P06053872,P06053873,P06053874,pC0674,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053875,P06053876,P06053877,P06053878,pC0580,3.5,1,4,Tetiana,OLD,,,,,,,,,,,,,,,,
P06053879,P06053880,P06053881,P06053882,pC0700,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053883,P06053884,P06053885,P06053886,pC0680,3.5,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053887,P06053888,P06053889,P06053890,pC0609,3.5,1.5,3,Tetiana,OLD,,,,,,,,,,,,,,,,
P06053891,P06053892,P06053893,P06053894,pC0602,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053895,P06053896,P06053897,P06053898,pC0659,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053899,P06053900,P06053901,P06053902,pC0625,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053903,P06053904,P06053905,P06053906,pC0687,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053907,P06053908,P06053909,P06053910,pC0686,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053911,P06053912,P06053913,P06053914,pC0577,4,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053915,P06053916,P06053917,P06053918,pC0810,NA,NA,4,Tetiana,VERY BAD CONDITION. VENATION 3.5-4,,,,,,,,,,,,,,,,
P06053919,P06053920,P06053921,P06053922,pC0668,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053923,P06053924,P06053925,P06053926,pC0709,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053927,P06053928,P06053929,P06053930,pC0638,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053931,P06053932,P06053933,P06053934,pC0688,3,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053935,P06053936,P06053937,P06053938,pC0583,3.5,1,3.5,Tetiana,"DAMAGED, YELLOW 0.5-1, VENATION 3-4",,,,,,,,,,,,,,,,
P06053939,P06053940,P06053941,P06053942,pC0579,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053943,P06053944,P06053945,P06053946,pC0620,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053947,P06053948,P06053949,P06053950,pC0651,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053951,P06053952,P06053953,P06053954,pC0672,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053955,P06053956,P06053957,P06053958,pC0581,4,0.5,4,Tetiana,,,,,,,,,,,,,,,,,
P06053959,P06053960,P06053961,P06053962,pC0621,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06053963,P06053964,P06053965,P06053966,pC0650,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053967,P06053968,P06053969,P06053970,pC0708,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053971,P06053972,P06053973,P06053974,pC0681,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06053975,P06053976,P06053977,P06053978,pC0670,3.5,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053979,P06053980,P06053981,P06053982,pC0604,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06053983,P06053984,P06053985,P06053986,pC0718,4,1,4,Tetiana,DAMAGED PETALS BUT VENATION IS VISIBLE,,,,,,,,,,,,,,,,
P06053987,P06053988,P06053989,P06053990,pC0609,4,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06053991,P06053992,P06053993,P06053994,pC0676,3.5,1.5,3.5,Tetiana,"DAMAGED pATELS, VENATION UP TO 4",,,,,,,,,,,,,,,,
P06053995,P06053996,P06053997,P06053998,pC0689,3.5,1,NA,Tetiana,VERY OLD,,,,,,,,,,,,,,,,
